Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,Timestamp,dt
-1.1276689767837524,9.865307807922363,-0.18555063009262085,-0.07640917430523064,0.21820145368137922,0.1524071857311552,-1.0512598024785218,9.647106354240984,-0.33795781582377604,-0.029561089351773262,-0.01757686398923397,-0.011984225362539291,13.380000114440918,-38.15999984741211,28.6200008392334,-0.054207731284813696,-0.09454500255552896,0.13011246915551597,0.27690826381523004,8337317432730,0.018896354
-1.3072341680526733,9.569623947143555,-0.026336219161748886,-0.20477949245932114,-0.06198592567794314,0.24929727732962176,-1.1024546755933522,9.631609872821498,-0.27563349649137064,-0.02370213344693184,-0.004527374170720577,-0.013049489818513393,13.380000114440918,-38.15999984741211,28.6200008392334,0.12400870473490798,0.17311660709261298,0.17700471566872808,0.3285209704082998,8337337481376,0.020048646
-1.0211269855499268,9.458892822265625,-0.25737667083740234,0.0650621520347403,-0.13817364044469826,0.01460546052317463,-1.086189137584667,9.597066462710323,-0.271982131360577,-0.008788431994616985,0.014913702383637428,-0.02822950854897499,13.319999694824219,-38.15999984741211,28.6200008392334,0.14643054235389796,0.2640841691546725,-0.1293973482992539,0.15342215621684643,8337357329189,0.019847813
-0.9253589510917664,9.687539100646973,-0.5536591410636902,0.12866414919432057,0.07237811034931951,-0.22534160776249057,-1.054023100286087,9.615160990297653,-0.3283175333011996,-0.06897587329149246,-0.13076120615005493,-0.03701794147491455,13.319999694824219,-38.099998474121094,28.6200008392334,-0.10523461560516911,-3.6978782225180994E-4,-0.11164181648830865,0.2693917117036469,8337377149033,0.019819844
-1.106719732284546,9.938929557800293,-0.5333084464073181,-0.04215730559876718,0.2590148540021122,-0.16399273048489482,-1.0645624266857787,9.67991470379818,-0.3693157159224233,-0.09667275100946426,-0.27590349316596985,-0.020240023732185364,13.319999694824219,-38.099998474121094,28.6200008392334,-0.0744493055383943,-0.23099059637884922,0.11692962548832352,0.30945039773924143,8337397345802,0.020196769
-1.2312182188034058,9.686341285705566,-0.3076549172401428,-0.13332463369410164,0.005141265525908878,0.0581376900949529,-1.0992996846386518,9.613275331390309,-0.3424491336622289,-0.09294432401657104,-0.038615837693214417,-0.008255799300968647,13.260000228881836,-38.099998474121094,28.6200008392334,0.1384209229017604,-0.14078590352852743,0.23828245910283655,0.27790616836954113,8337437054605,0.019948698
-0.9762357473373413,9.363123893737793,-0.6003460884094238,0.0984511498410483,-0.2001211501220137,-0.20631756379775595,-1.0746868971783896,9.563245043859807,-0.3940285246116679,-0.05938849225640297,-0.08628641813993454,-0.020772656425833702,13.199999809265137,-38.099998474121094,28.6200008392334,-0.08369565537460048,0.0396485820919799,-0.26202076472416524,0.3038223835773513,8337457011948,0.019957343
-0.8810662031173706,9.561842918395996,-0.9846154451370239,0.15489655524881507,-0.0011217003710477513,-0.4724695364202849,-1.0359627583661857,9.562964618767044,-0.512145908716739,-0.03808320313692093,-0.2865561246871948,-0.020772656425833702,13.199999809265137,-38.099998474121094,28.68000030517578,-0.1312516137405875,-0.22875471630224772,-0.15083871503249274,0.49721390154024303,8337476946011,0.019934063
-1.1013327836990356,9.73661994934082,-0.8918401598930359,-0.05229602026628011,0.13892426445902117,-0.3037554009410375,-1.0490367634327555,9.5976956848818,-0.5880847589519984,-0.10865697264671326,-0.37390783429145813,-0.06817692518234253,13.140000343322754,-38.099998474121094,28.68000030517578,-0.09563545367367952,-0.4823139565758016,0.07381560894527694,0.3380860372627383,8337497114761,0.02016875
-1.4335283041000366,9.609726905822754,-0.375291109085083,-0.30759323253382487,0.009624976752764525,0.17023491989353234,-1.1259350715662118,9.60010192906999,-0.5455260289786154,-0.20186761021614075,-0.18695391714572906,-0.1275654137134552,13.140000343322754,-38.099998474121094,28.68000030517578,0.12586702330358915,-0.28422736369612256,0.13294538379306317,0.3516904389221525,8337516581063,0.019466302
-1.159990668296814,9.592967987060547,-0.363918662071228,-0.02724447738448177,-0.0057071536075543605,0.14528589352590993,-1.1327461909123322,9.598675140668101,-0.509204555597138,-0.3004045784473419,0.10705907642841339,-0.1347559541463852,13.140000343322754,-38.099998474121094,28.68000030517578,0.27418249116628723,0.1983962941478327,-0.09565061490180461,0.1479284421870108,8337536676428,0.020095365
-0.639850378036499,9.376891136169434,-0.657806932926178,0.39431665030066654,-0.17742720359893482,-0.118881901863232,-1.0341670283371656,9.554318339768368,-0.538925031062946,-0.3946804702281952,0.027164243161678314,-0.09054747968912125,13.079999923706055,-38.099998474121094,28.6200008392334,0.007085257200325115,0.14619615063785077,-0.021431476403840587,0.4484405644808408,8337556977001,0.020300573
-0.5327098965644836,9.421782493591309,-0.6757634282112122,0.40116570541814556,-0.10602867694164786,-0.10947071771861294,-0.9338756019826292,9.527811170532956,-0.5662927104925992,-0.5060006380081177,-0.19600865244865417,-0.07376956194639206,13.079999923706055,-38.15999984741211,28.6200008392334,-0.41482756632192197,-0.16665435964680553,-0.03526083487214014,0.4291384876417669,8337576913095,0.019936094
-0.960673451423645,9.174580574035645,-0.8577227592468262,-0.021438279552812634,-0.2825844771978492,-0.23314403900338154,-0.9392351718708324,9.457165051233494,-0.6245787202434446,-0.6372944712638855,-0.2545982003211975,-0.12809805572032928,13.140000343322754,-38.15999984741211,28.559999465942383,-0.40111311037552505,-0.14710456800039978,0.04035294990804233,0.3669737449820853,8337596326585,0.01941349
