Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,Timestamp,dt
1.5897499322891235,9.653421401977539,0.0,-0.0398192217063309,0.10011749884947108,-0.026424966402335787,1.6295691539954544,9.553303903128068,0.026424966402335787,0.010995574295520782,-0.11850785464048386,-0.07941248267889023,14.3125,-46.125,-26.25,-0.03050245681965652,9.76460358434226E-4,-0.026521336947563152,0.1109385543557169,14834840906527,0.019538125
1.5705963373184204,9.691728591918945,0.0,-0.047178253341627396,0.1107397510327015,-0.021139973121868633,1.6177745906600478,9.580988840886244,0.021139973121868633,-0.02687807008624077,-0.14905111491680145,-0.09407325088977814,14.25,-45.875,-25.9375,0.028829283267372427,-0.03144107294875619,-0.10240943647425793,0.12221284102231164,14834860292777,0.01938625
1.6950948238372803,9.576807022094727,-0.06703764945268631,0.061743269088164965,-0.013402377210164573,-0.06409512418460024,1.6333515547491153,9.590209399304891,-0.0029425252680860704,-0.02687807008624077,-0.1771509200334549,-0.09651670604944229,14.25,-45.9375,-26.125,0.031082789338281635,-0.02643349436341305,-0.11520030197614439,0.0900002218709288,14834899425069,0.01961
1.7621324062347412,9.490615844726563,-0.038307227194309235,0.10302468118850072,-0.07967484366266397,-0.02829176154097853,1.6591077250462405,9.570290688389226,-0.010015465653330701,-0.00733038317412138,-0.18814650177955627,-0.09773843735456467,14.25,-45.9375,-26.375,0.027565617644984712,-0.06969762485804594,0.04982387320441278,0.13327636481294705,14834918839235,0.019414166
1.647210717201233,9.47146224975586,-0.028730420395731926,-0.009517606276006063,-0.07906275090669368,-0.01497196379392098,1.656728323477239,9.550525000662553,-0.013758456601810945,0.0024434609804302454,-0.18448130786418915,-0.09896016865968704,14.1875,-46.0625,-26.3125,0.02327633863895742,-0.03261593412014893,0.1271102047110586,0.08102877951694351,14834938368819,0.019529584
1.5610195398330688,9.615114212036133,-0.009576806798577309,-0.07656702691533601,0.05167136909886416,0.0033453198425869093,1.6375865667484049,9.563442842937269,-0.012922126641164218,-0.0024434609804302454,-0.14538592100143433,-0.10018189996480942,14.0,-46.0625,-26.625,-0.05946696488106971,-0.004800862429092315,0.05482969028028176,0.0924317648866127,14834957980277,0.019611458
1.599326729774475,9.730035781860352,-0.1149216815829277,-0.030607869579143854,0.13327435113846775,-0.0815996439534108,1.629934599353619,9.596761430721884,-0.03332203762951691,0.0,-0.10506882518529892,-0.10751228034496307,13.625,-45.9375,-26.5625,-0.026119925626483742,0.007747286904070573,-0.08832531353125295,0.1592400585433103,14834977505277,0.019525
1.7908629179000854,9.624691009521484,-0.28730419278144836,0.1287426548371733,0.02234366303968116,-0.20318572412154517,1.6621202630629122,9.602347346481803,-0.08411846865990319,0.0024434609804302454,-0.09162978827953339,-0.11484266817569733,13.8125,-45.875,-26.5625,0.04410521382306179,-0.09068752949905949,-0.12323920945056821,0.2415747274433959,14834996959652,0.019454375
1.8770540952682495,9.548076629638672,-0.4213795065879822,0.17194706576426988,-0.043416573474504006,-0.26980883034246317,1.7051070295039796,9.591493203113176,-0.15157067624551898,-0.009773843921720982,-0.1014036312699318,-0.13072516024112701,13.875,-45.875,-26.9375,0.07840531159787936,-0.2192219145624537,0.06444149851213035,0.32287396489648595,14835016604027,0.019644375
1.9249382019042969,9.500192642211914,-0.35434186458587646,0.1758649379202537,-0.07304044872100945,-0.16221695067228598,1.7490732639840432,9.573233090932924,-0.1921249139135905,-0.04153883829712868,-0.1319468915462494,-0.15027284622192383,14.25,-45.875,-27.3125,0.05985588098190939,-0.282428489155478,0.1445649417639608,0.2501553969525262,14835036042569,0.019438542
1.7621324062347412,9.442731857299805,-0.06703764945268631,0.0104473138005583,-0.10440098690649613,0.10006981156872335,1.751685092434183,9.5471328442063,-0.16710746102140966,-0.03420845419168472,-0.17348572611808777,-0.16004669666290283,14.1875,-45.6875,-27.375,0.06255603810280089,-0.17296082127037013,0.1695553657630205,0.1449919984692173,14835055789027,0.019746458
1.5131354331970215,9.404424667358398,-0.19153612852096558,-0.19083972738972932,-0.11416654147832084,-0.01954293399964474,1.7039751605867508,9.51859120883672,-0.17199319452132084,0.009773843921720982,-0.1869247704744339,-0.1466076523065567,14.1875,-45.8125,-27.4375,-0.037261660393479015,0.11010888531748159,0.08666188701961378,0.22323916997834817,14835075203819,0.019414792
1.5131354331970215,9.624691009521484,-0.05746084079146385,-0.19109036742395813,0.12153393835621884,0.17596407139355527,1.6180346232528156,9.570194653562726,-0.23342491218501912,0.025656340643763542,-0.1722639948129654,-0.1417207419872284,14.0625,-45.8125,-27.4375,-0.22074027671420537,0.01916695470765535,-0.02724115296545755,0.2867915290171464,14835114196527,0.019145833
0.9193734526634216,9.41400146484375,-0.12449848651885986,-0.5589289364715151,-0.12495455097518082,0.08714114053292743,1.4783023891349367,9.53895601581893,-0.2116396270517873,-0.00733038317412138,-0.1771509200334549,-0.1514945775270462,14.375,-45.8125,-27.5,-0.049615146284820964,0.18162479471939924,-0.2163334368788403,0.5793175072513926,14835133849444,0.019652917
0.43095630407333374,9.260771751403809,-0.507570743560791,-0.8378768680492823,-0.22254741153209778,-0.236744893207203,1.268833172122616,9.483319162935906,-0.270825850353588,-0.10506882518529892,-0.22479841113090515,-0.1771509200334549,14.0625,-45.6875,-27.4375,-0.5039582689697674,0.16106773036622496,-0.2359915018259805,0.8986729888293078,14835153374652,0.019525208
