Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,HeartRate,Timestamp,dt
0.1951274424791336,-0.06524199992418289,9.511565208435059,-0.015744373202323914,-0.008551772683858871,-0.29265308380126953,0.21087181568145752,-0.05669022724032402,9.804218292236328,0.057790596038103104,-0.06418218463659286,-0.046072687953710556,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.29320103267547226,0,23:51:51,0.012589739
0.1759738177061081,-0.07900865375995636,9.518148422241211,-0.033497974276542664,-0.021222904324531555,-0.28609371185302734,0.20947179198265076,-0.057785749435424805,9.804242134094238,0.006924218963831663,-0.015978965908288956,-0.0023968450259417295,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.2888289076779594,0,23:51:51,0.019980313
0.16759411990642548,-0.0628477931022644,9.488221168518066,-0.04016019403934479,-0.0047411732375621796,-0.3160562515258789,0.20775431394577026,-0.058106619864702225,9.804277420043945,0.007989482954144478,-0.013315806165337563,-0.0018642127979546785,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.31863282008847743,0,23:51:51,0.01958401
0.18914192914962769,-0.07302315533161163,9.469067573547363,-0.01804850995540619,-0.014126330614089966,-0.3352174758911133,0.20719043910503387,-0.05889682471752167,9.804285049438477,0.006657903082668781,-0.014114754274487495,-0.002130528911948204,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.3360000864152241,0,23:51:51,0.020037604
0.1933317929506302,-0.048482585698366165,9.511565208435059,-0.013470470905303955,0.00997006893157959,-0.29273033142089844,0.20680226385593414,-0.058452654629945755,9.804295539855957,0.007723167538642883,-0.011984225362539291,-7.989483419805765E-4,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.29320965672143223,0,23:51:51,0.019959375
0.1843535304069519,-0.08319851011037827,9.475651741027832,-0.02168498933315277,-0.02348458394408226,-0.32865238189697266,0.20603851974010468,-0.059713926166296005,9.804304122924805,0.008255799300968647,-0.011717909015715122,-0.0034621094819158316,,,,3.633949788119075,5.857532132812313,2.4979285456254963,0.3302031989123654,0,23:51:51,0.019943282
0.17956513166427612,-0.07182604819536209,9.475052833557129,-0.025042489171028137,-0.010798994451761246,-0.3292722702026367,0.20460762083530426,-0.061027053743600845,9.804325103759766,0.006924218963831663,-0.015180018730461597,-0.003994741477072239,62.939998626708984,-28.260000228881836,-10.079999923706055,3.633949788119075,5.857532132812313,2.4979285456254963,0.3303997162066705,0,23:51:51,0.019748021
0.18315643072128296,-0.08858546614646912,9.466673851013184,-0.02072964608669281,-0.026165001094341278,-0.3376579284667969,0.20388607680797577,-0.06242046505212784,9.80433177947998,0.006924218963831663,-0.013049489818513393,-0.0018642127979546785,70.86000061035156,-31.799999237060547,-11.220000267028809,-0.0064728518513039734,0.02931738052094035,-0.3290327536338097,0.33930399668385125,0,23:51:51,0.020239792
0.16579847037792206,-0.08379705995321274,9.458293914794922,-0.03658053278923035,-0.02025754004716873,-0.34606170654296875,0.2023790031671524,-0.063539519906044,9.80435562133789,0.006391586735844612,-0.013848437927663326,-0.003195793367922306,78.77999877929688,-35.279998779296875,-12.420000076293945,-0.02240948626606487,0.031767367145827397,-0.33706951146163394,0.3485788404985857,0,23:51:51,0.019976823
0.19153612852096558,-0.05027823522686958,9.498396873474121,-0.01060551404953003,0.012696463614702225,-0.3059673309326172,0.2021416425704956,-0.06297469884157181,9.804364204406738,0.006391586735844612,-0.013582121580839157,-0.0018642127979546785,86.63999938964844,-38.81999969482422,-13.5600004196167,-0.01068925370627305,0.04390514208797902,-0.3456374898028516,0.30641423712778737,0,23:51:51,0.019505468
0.1909375786781311,-0.07182604819536209,9.48762321472168,-0.010951519012451172,-0.00836373120546341,-0.3167428970336914,0.20188909769058228,-0.06346231698989868,9.804366111755371,0.005858954507857561,-0.013848437927663326,-0.004527374170720577,94.62000274658203,-42.29999923706055,-14.760000228881836,0.009611666607265645,0.006458075237874894,-0.3061953444959382,0.3170425059667125,0,23:51:51,0.020220365
0.17896658182144165,-0.08080431073904037,9.481637001037598,-0.02212013304233551,-0.016432173550128937,-0.3227396011352539,0.20108671486377716,-0.06437213718891144,9.804376602172852,0.006924218963831663,-0.014114754274487495,-0.0029294772539287806,102.54000091552734,-45.84000015258789,-15.899999618530273,-0.009689481640207553,0.015459600366541482,-0.31651706717966904,0.3239138261240711,0,23:51:51,0.019622396
0.19812019169330597,-0.055665191262960434,9.4822359085083,-0.0031204670667648315,0.008367035537958145,-0.3221406936645508,0.2012406587600708,-0.06403222680091858,9.804376602172852,0.006924218963831663,-0.012783173471689224,-0.0029294772539287806,110.45999908447266,-49.31999969482422,-17.100000381469727,-0.012596816544913292,0.029016064270732445,-0.3223655414266954,0.32226444283086236,0,23:51:51,0.020331771
0.1801636815071106,-0.06224924325942993,9.479841232299805,-0.020375385880470276,0.0017729848623275757,-0.32454872131347656,0.20053906738758087,-0.06402222812175751,9.804389953613281,0.009321063756942749,-0.014114754274487495,-0.002130528911948204,118.37999725341797,-52.79999923706055,-18.239999771118164,0.002299951501633535,0.00154489168945382,-0.3222525241985496,0.325192515798431,0,23:51:51,0.020011823
